"","ROI"
"403",16414.3993161219
"404",8913.3673598659
"405",16278.9573034718
"406",NA
"407",36997.678807741
"408",35689.6998891935
"409",36017.4251696985
"410",12167.6069232217
"411",87836.0090799206
"412",14210.3693660142
"413",NA
"414",81587.269242075
"415",17039.4068581126
"416",69877.555594051
"417",30130.2915594785
"418",22158.447155424
"419",NA
"420",52555.5414660453
"421",34021.4990190256
"422",199588.16801246
"423",NA
"424",12946.0103582533
"425",46199.0145061073
"426",NA
"427",37280.1465291217
"428",NA
"429",6209.72000685006
"430",15562.255136177
"431",93087.2172669842
"432",13723.3253538845
"433",27087.2131909524
"434",27172.2002746943
"435",7553.2160905035
"436",29369.3479150113
"437",NA
"438",76055.2242200513
"439",NA
"440",37111.6686603451
"441",11335.2318845606
"442",NA
"443",NA
"444",13068.7307961643
"445",44576.6636710903
"446",60452.1122665089
"447",12616.9426978108
"448",44956.7867240416
"449",19348.0369296927
"450",22134.8546676757
"451",55889.5701904524
"452",47354.2022225354
"453",60525.6993607366
"454",28943.9505226102
"455",9919.03422673753
"456",95056.7756110545
"457",40364.9771268936
"458",30228.8493443372
"459",13568.6294958023
"460",30075.1840048878
"461",31289.8596978085
"462",17671.0074860282
"463",24812.225083315
"464",13104.9627386654
"465",18124.8531823949
"466",25205.5450261305
"467",21600.7794279799
"468",54916.612867708
"469",NA
"470",16276.1091438272
"471",21066.5398246995
"472",406249.952557781
"473",19657.406713901
"474",605286.51687832
"475",35374.237930637
"476",NA
"477",20482.2904932957
"478",NA
"479",20759.9932359441
"480",12579.3260625619
"481",NA
"482",6893.1186063349
"483",12434.6850957306
"484",37399.78850727
"485",34037.8961661714
"486",11710.1348403464
"487",5763.64705394485
"488",33473.9381122886
"489",25420.2964816321
"490",22678.9152945242
"491",18510.232136285
"492",262049.932542698
"493",89533.1714463282
"494",30598.5957204567
"495",NA
"496",24226.5085242792
"497",626439.889328547
"498",NA
"499",126206.425004923
"500",25655.6016019832
"501",16196.2290438454
"502",34876.0884460618
"503",20232.0248960353
"504",NA
"505",14758.3082474098
"506",19348.5101291809
"507",24848.022952303
"508",17138.9457976895
"509",13570.4285525833
"510",22070.096446717
"511",16747.8169324754
"512",117389.532358024
"513",37808.9765993594
"514",18518.5754270086
"515",23832.4992673149
"516",84994.5481806998
"517",31036.0167710315
"518",15160.9896022501
"519",24240.8346103731
"520",35173.9139526982
"521",37399.5476514355
"522",27852.6114808548
"523",NA
"524",22773.2876329249
"525",36480.8439652104
"526",12028.6469296171
"527",21895.2677163626
"528",92488.4906948304
"529",48758.5870368263
"530",26182.3322793579
"531",25431.7242166784
"532",15188.215290235
"533",27732.2182751996
"534",25057.4309360838
"535",NA
"536",27186.205596023
"537",17413.3730280001
"538",67507.3309875739
"539",NA
"540",16328.6073620677
"541",38412.6247611583
"542",14596.2040133607
"543",NA
"544",24545.3456930071
"545",NA
"546",NA
"547",46007.8220411552
"548",4150.34205644346
"549",14142.5508468771
"550",41149.2585525521
"551",40935.0243039261
"552",21911.1226273739
"553",27354.6240329515
"554",14251.0766219062
"555",24828.9998959152
"556",18425.2459812287
"557",NA
"558",27333.8697014535
"559",NA
"560",40190.5016840454
"561",63936.7909734269
"562",12296.4079316147
"563",15075.7802672408
"564",25904.0779955572
"565",16854.9973382012
"566",468276.117600343
"567",NA
"568",16586.4151270524
"569",17636.3606585819
"570",NA
"571",NA
"572",27071.6756012939
"573",28720.3432795294
"574",35608.028827048
"575",29177.9729944533
"576",22920.0784259341
"577",39073.0908888683
"578",17797.4294818413
"579",26893.2090542736
"580",NA
"581",22730.9665849929
"582",19541.381605424
"583",29912.4094036134
"584",23608.7458966846
"585",19997.4787339903
"586",359645.897886463
"587",42354.1207491093
"588",20446.6366720721
"589",18686.1588194396
"590",377311.940045159
"591",18525.0835251209
"592",15564.6996812631
"593",NA
"594",13041.5487918669
"595",26451.8504425045
"596",13689.5178693021
"597",19127.1413431
"598",124448.891271153
"599",27590.7076337283
"600",18850.5548592122
"601",83796.2227107335
"602",15963.9501411912
"603",5689.53238488727
"604",19243.4845414571
"605",18968.2739917911
"606",35904.2130820833
"607",33176.5421348183
"608",34037.9534325819
"609",NA
"610",25507.0022393842
"611",29356.7719460289
"612",NA
"613",70207.062910399
"614",63220.5107138756
"615",33722.9365991339
"616",70932.7141453393
"617",158846.15046315
"618",25739.5893486065
"619",25113.0964008065
"620",93308.9539141807
"621",70709.1110853703
"622",67510.4348710037
"623",7555.44608317051
"624",23907.1731402267
"625",132490.830824974
"626",15207.9602752952
"627",21382.4740002425
"628",69553.5815552056
"629",26285.631897522
"630",94041.2863062909
"631",13242.4176181053
"632",63335.9822890682
"633",66422.3541370009
"634",40454.3071403566
"635",22763.1757981294
"636",81537.5937826004
"637",16383.3093238715
"638",22447.7601093629
"639",NA
"640",23712.3915129686
"641",32384.6154544242
"642",16107.3054485998
"643",15008.9049059315
"644",41173.7855627312
"645",22546.1386693143
"646",32801.1375466925
"647",NA
"648",NA
"649",22340.3556251209
"650",22679.8678648157
"651",39350.5674133953
"652",30817.151051335
"653",24862.2856469468
"654",21419.021909396
"655",52959.0380138867
"656",17724.9201121867
"657",11914.8798282248
"658",51443.0331464526
"659",NA
"660",33928.3722944362
"661",10809.2743050702
"662",30149.5059880147
"663",27257.4627708341
"664",40921.5105563296
"665",35916.8747134104
"666",21692.609387047
"667",61560.9092651741
"668",49435.9121665871
"669",NA
"670",48616.4657176375
"671",34218.4486735435
"672",5370.71024570752
"673",91042.2992639377
"674",NA
"675",14528.5238579967
"676",25357.4666830096
"677",88467.2205048944
"678",119897.366709607
"679",19157.8853082247
"680",32614.9966101952
"681",15602.1049104364
"682",25951.2261503915
"683",22386.1954404038
"684",27226.0578462078
"685",NA
"686",149753.52758374
"687",29595.39240118
"688",8863.51945492465
"689",29848.0558522812
"690",23904.9285450387
"691",21175.0411975286
"692",19250.8500101489
"693",19663.1206613535
"694",15294.0557045509
"695",25190.7454016501
"696",42653.3680242166
"697",8803.42641529033
"698",23283.3855182877
"699",25427.9726947386
"700",128665.871604041
"701",20616.9855062525
"702",19001.9095127981
"703",24950.7411902398
"704",41384.1705895739
"705",30999.5623519133
"706",21233.7106321579
"707",14585.7399907729
"708",16937.7084754148
"709",27160.7256550216
"710",37209.762183205
"711",11416.3447499701
"712",71468.3178286
"713",11498.7703801899
"714",14587.7971146685
"715",68749.7492768823
"716",81130.5192591074
"717",67840.7025233465
"718",9468.64045500671
"719",26713.9438158
"720",23926.8323649158
"721",NA
"722",25935.0544759527
"723",35016.154081598
"724",57941.0700968493
"725",17789.994969982
"726",44837.499766023
"727",28297.3013862196
"728",25742.3978026058
"729",17914.3403074602
"730",46387.6116948538
"731",37343.3834733537
"732",165617.328598383
"733",28572.3846131544
"734",32713.5181461831
"735",15605.5070359323
"736",6209.59553967856
"737",25148.7715820394
"738",30489.5806569507
"739",21799.1537224319
"740",20347.3653768573
"741",NA
"742",22975.7859605359
"743",16649.3794160759
"744",NA
"745",59981.0961048059
"746",32309.3021270427
"747",66333.4571751664
"748",NA
"749",25498.4805503466
"750",16225.9090797626
"751",16491.9039503505
"752",28083.3898848899
"753",16541.8183156811
"754",56269.4452560232
"755",15978.6946077733
"756",36394.0543967688
"757",26689.8830490226
"758",15728.12624814
"759",28851.6341631081
"760",13449.107431452
"761",52444.0103438218
"762",NA
"763",37895.0749705169
"764",87316.9653449703
"765",16087.2853551985
"766",286902.2654001
"767",37066.0568105693
"768",NA
"769",12260.5568248013
"770",NA
"771",20453.6544473376
"772",53318.4198769688
"773",48367.2193347348
"774",12726.1535022853
"775",224552.625773745
"776",32020.7955431968
"777",28047.9739091559
"778",NA
"779",25135.1956505573
"780",32620.8885921763
"781",8210.14894012196
"782",48693.3055098607
"783",48858.0241216818
"784",19001.7516285971
"785",35412.7091740653
"786",29436.9205573079
"787",53994.837592472
"788",21440.8107935536
"789",19942.7730664381
"790",8247.30335289816
"791",NA
"792",9191.37864659117
"793",13739.465384733
"794",25140.0825275873
"795",17831.1846181833
"796",26030.3778059275
"797",NA
"798",22096.5856040569
"799",28114.1142033284
"800",29251.7868561684
"801",39936.9623654375
"802",24902.3655034799
"803",NA
"804",16638.8441045062
"805",26607.2940888859
"806",25014.6544157915
"807",17055.6540723
"808",14057.4722473646
"809",19598.8350386176
"810",14975.4649930208
"811",13552.0879623439
"812",NA
"813",20348.7487150741
"814",16168.328346439
"815",47597.9708819456
"816",29592.0429304107
"817",35578.8708623748
"818",NA
"819",22484.516878499
"820",14659.2972494288
"821",NA
"822",NA
"823",77903.9331237451
"824",24803.374326499
"825",52163.3553452952
"826",21655.7013066142
"827",32862.7323187701
"828",19528.834977957
"829",NA
"830",25228.3509193834
"831",28256.2409837141
"832",NA
"833",12799.9580595124
"834",26840.2224789422
"835",NA
"836",34823.1101698078
"837",22169.4319920929
"838",17780.9696627859
"839",19525.5849272352
"840",NA
"841",18229.2974541861
"842",28891.0991566775
"843",19186.923011351
"844",NA
"845",31400.369224081
"846",22510.8603490266
"847",27684.9931224261
"848",67531.0156634896
"849",51345.63524551
"850",48358.5624018305
"851",24782.1700675021
"852",46960.8656794558
"853",76079.4901240264
"854",NA
"855",49112.0678489883
"856",69271.980884599
"857",20516.2098910549
"858",46307.8817838398
"859",58362.948270349
"860",NA
"861",16021.7182434424
"862",NA
"863",NA
"864",39381.6346643382
"865",46107.6275192504
"866",34007.3508686353
"867",31234.1435235831
"868",NA
"869",NA
"870",53532.6474474827
"871",23412.4572868395
"872",17815.8363799899
"873",17614.3624933841
"874",10504.8797498839
"875",35575.5251283447
"876",104652.169964715
"877",38600.4424340286
"878",47149.9421425796
"879",NA
"880",14794.6520872881
"881",16523.9709364742
"882",13954.1949149177
"883",26541.5926928389
"884",8945.29637946483
"885",33548.6202285782
"886",33160.5500351204
"887",NA
"888",22753.8843690196
"889",27359.5014686997
"890",20259.9446047774
"891",27883.3570328705
"892",NA
"893",72414.0827502042
"894",NA
"895",30439.2222049372
"896",31548.4296602025
"897",27545.7192852422
"898",NA
"899",NA
"900",27743.301524505
"901",29576.935788352
"902",73626.9511588293
"903",69279.9726282659
"904",96694.8594962149
"905",16349.0400035018
"906",16846.0544450829
"907",25302.2197090735
"908",26891.556088041
"909",14372.5186568181
"910",46086.2109174182
"911",NA
"912",56988.071301442
"913",31808.6670555682
"914",59819.3084881324
"915",28197.2372318695
"916",12967.3491380688
"917",123869.259075258
"918",NA
"919",27751.55578877
"920",16109.4549457279
"921",31147.8843206454
"922",NA
"923",21491.5528661639
"924",15944.5978207757
"925",NA
"926",22619.8698117796
"927",24189.9565926274
"928",16033.4672125342
"929",NA
"930",27536.065151711
"931",NA
"932",43560.6281437256
"933",94300.6469531019
"934",16378.3390066191
"935",4106.18231892972
"936",20945.1790447375
"937",22798.7775832416
"938",NA
"939",48717.4831173495
"940",17924.7442381394
"941",12275.4029147441
"942",9253.94361459817
"943",9356.33865656038
"944",NA
"945",NA
"946",25351.2967105712
"947",23062.5222389671
"948",26086.3806625117
"949",20730.2622788749
"950",30741.0459449249
"951",28474.3972290502
"952",96141.5396362217
"953",NA
"954",13689.0602676729
"955",10390.288866492
"956",7338.89185904269
"957",18960.1852271598
"958",32575.9231551267
"959",10290.4667797523
"960",NA
"961",81827.8678197483
"962",15470.7900606965
"963",22386.6771844364
"964",16009.7903201152
"965",25223.4204942709
"966",NA
"967",22409.1476539807
"968",72724.7084698722
"969",29798.5555418982
"970",43268.2238298483
"971",19050.676746169
"972",12706.0026778897
"973",16589.4561615874
"974",27122.5223089166
"975",123750.676168707
"976",39942.1747359894
"977",6433.9606869263
"978",14342.0837726727
"979",63087.1328800111
"980",30741.2397276551
"981",NA
"982",48750.149758109
"983",41219.3290450026
"984",32834.0305591861
"985",33836.3377429685
"986",29318.7808036421
"987",10586.6245790383
"988",23597.5116694423
"989",29771.7292883404
"990",29381.3246382928
"991",25483.7184074813
"992",19620.3993539425
"993",29856.6543233679
"994",NA
"995",21295.0544845053
"996",23203.1192313098
"997",20811.160205539
"998",59172.878302414
"999",15459.4621544063
"1000",22334.8879770159
"1001",27379.522291744
"1002",50911.0728486926
"1003",56217.1201088634
"1004",80712.7670570779
"1005",NA
"1006",25114.0145708533
"1007",45574.7252549384
"1008",29532.7251192371
"1009",21912.3940747071
"1010",15117.1323458678
"1011",18389.5506745609
"1012",72302.2470603028
"1013",53118.0206287894
"1014",23706.0208585604
"1015",100635.924755916
"1016",15269.5298966238
"1017",20794.1763526646
"1018",109460.619915952
"1019",30708.7948441641
"1020",34566.9004494575
"1021",26170.8650441085
"1022",25186.3085825324
"1023",112415.801471403
"1024",20949.4704733014
"1025",70980.8853139765
"1026",14906.4617235596
"1027",66695.3570329214
"1028",37056.6860720469
"1029",30781.4494657438
"1030",36043.2365201173
"1031",56889.0268962632
"1032",34069.3208292454
"1033",19743.3780635772
"1034",13337.6325694815
"1035",36322.6646547565
"1036",84451.254490251
"1037",22706.1956904172
"1038",91539.0530421941
"1039",13215.2020503335
"1040",43808.9153114772
"1041",10301.0555425079
"1042",22345.9077739518
"1043",25750.6551173791
"1044",NA
"1045",49658.6165394688
"1046",21461.009734082
"1047",36117.5642659577
"1048",36006.6519986683
"1049",18600.982543488
"1050",16506.1827859425
"1051",57155.2076671949
"1052",99750.2779630021
"1053",50999.2855487035
"1054",37625.9059610806
"1055",55382.8208918641
"1056",45373.630792085
"1057",61365.3671779203
"1058",24429.3763261899
"1059",95281.9762492853
"1060",24015.662581367
"1061",18633.4191611505
"1062",43072.0818541074
"1063",18102.6989247044
"1064",110839.95535258
"1065",66052.3450149921
"1066",55922.2024581115
"1067",45467.5977113024
"1068",28071.4296009264
"1069",7844.34462363875
"1070",27750.2155439964
"1071",19642.5648307377
"1072",33708.0484767819
"1073",29501.9980974499
"1074",26767.1721211291
"1075",43919.0632416376
"1076",35436.3992202059
"1077",62829.6800549598
"1078",22036.897137093
"1079",44767.2323027334
"1080",NA
"1081",39718.7854786491
"1082",24987.3546629123
"1083",34879.548446804
"1084",46430.8318121093
"1085",38303.0135711149
"1086",50806.5582561484
"1087",31626.1693149222
"1088",21140.7564172227
"1089",31844.7723120934
"1090",18175.4511212747
"1091",43089.8319725779
"1092",70193.4336640004
"1093",58516.5559396654
"1094",27444.7968378332
"1095",17394.1736650571
"1096",18457.7578277403
"1097",22390.2025725149
"1098",60655.1757587816
"1099",41325.9807241691
"1100",53108.2312142389
"1101",21152.640243364
"1102",20842.1476396294
"1103",25106.0503048205
"1104",23561.4648966374
"1105",55451.5810279414
"1106",25735.9316023584
"1107",30572.9766409996
"1108",37708.2809190173
"1109",45906.8272830512
"1110",15574.2476500716
"1111",9873.26549594544
"1112",43110.1874788913
"1113",110902.777348754
"1114",19054.6356393312
"1115",24424.1746924089
"1116",13278.1368967503
"1117",15153.1519005307
"1118",23858.8965324384
"1119",18440.288576631
"1120",83596.6168742569
"1121",12909.9400987572
"1122",NA
"1123",37034.9469376308
"1124",38970.7382239082
"1125",20977.9079850511
"1126",14595.527040716
"1127",41266.9138548255
"1128",39085.6879927964
"1129",12802.9423435925
"1130",73684.4953488743
"1131",57323.8884231853
"1132",18626.4717717932
"1133",34230.3498417326
"1134",14700.1674992786
"1135",24125.1152773482
"1136",25835.1696228356
"1137",74356.7656167333
"1138",139995.661062564
"1139",35794.1443963872
"1140",NA
"1141",22380.7406769174
"1142",11079.7423895567
"1143",15792.4350936367
"1144",39348.9795968445
"1145",27476.5332103598
"1146",55306.6529240891
"1147",39370.1958689279
"1148",77082.2108650251
"1149",9410.44668364585
"1150",20508.6711828599
"1151",16288.6784121849
"1152",43194.4152960585
"1153",NA
"1154",25443.262691885
"1155",40373.8429358863
"1156",13835.2502649097
"1157",24153.9177793833
"1158",26752.4313127859
"1159",53567.7858750467
"1160",40903.3708525859
"1161",31736.0207552886
"1162",43986.6784788957
"1163",15177.4060537955
"1164",23253.0570741492
"1165",28836.090834608
"1166",26512.4964908058
"1167",49236.7694536098
"1168",14296.8139866497
"1169",56289.8317600082
"1170",19010.4638383587
"1171",NA
"1172",37510.8023131312
"1173",43205.1279068845
"1174",53272.9457423609
"1175",44182.5786182738
"1176",32699.3464357555
"1177",63373.5792968856
"1178",42156.2601895269
"1179",30730.2273461861
"1180",52049.8597725541
"1181",78230.1367050357
"1182",30300.0857109621
"1183",16592.3210230727
"1184",21622.5578709606
"1185",39399.5754468297
"1186",19754.4487098578
"1187",53047.11134753
"1188",526539.664346183
"1189",140319.064059162
"1190",43797.7567317736
"1191",18253.8683042643
"1192",19914.049625591
"1193",55197.0417085748
"1194",19408.3753040908
"1195",22903.732254012
"1196",77847.4280920929
"1197",54592.4730859643
"1198",20743.59467175
"1199",10804.4759711886
"1200",NA
"1201",63966.051440422
"1202",30763.9788541277
"1203",35445.5886717785
"1204",25735.0478621624
"1205",37636.9038063602
"1206",NA
"1207",13766.4012155047
"1208",34072.960834648
"1209",119345.898646614
"1210",NA
"1211",33531.3538316276
"1212",50484.9236318665
"1213",60150.9876991991
"1214",26100.4368924977
"1215",NA
"1216",47354.3432935248
"1217",154000.110978769
"1218",75493.2792175604
"1219",22189.6225751588
"1220",121498.809640067
"1221",88434.2422599847
"1222",16515.1586587649
"1223",49760.1643846322
"1224",17987.0368940351
"1225",38478.8352342641
"1226",25334.1875189941
"1227",14662.7734814948
"1228",44598.574709057
"1229",NA
"1230",36383.8150899431
"1231",11708.388713566
"1232",33619.4860212486
"1233",17967.3482883064
"1234",27064.2515803698
"1235",32154.5629833214
"1236",21940.8923163683
"1237",21537.1032733909
"1238",71021.5458957455
"1239",31570.8723164495
"1240",50157.3162176693
"1241",56578.1264170565
"1242",37680.020523755
"1243",NA
"1244",103700.048582918
"1245",147689.858800192
"1246",25765.9960684048
"1247",14807.4888211559
"1248",49319.4696100886
"1249",46317.3147764707
"1250",28894.9857073478
"1251",17428.1401327747
"1252",17342.4804948704
"1253",33524.341323138
"1254",36864.4263076829
"1255",25081.7854136997
"1256",57963.6080076839
"1257",20002.1923961027
"1258",19189.4350552654
"1259",25338.2697234775
"1260",28980.4723974054
"1261",36768.6528320778
"1262",37820.513238402
"1263",18871.3059001813
"1264",27511.0872846405
"1265",27457.3277289632
"1266",29086.3151451234
"1267",48427.5634849969
"1268",19871.2738026665
"1269",56001.7601982638
"1270",21581.5195267301
"1271",15746.5477319812
"1272",31074.3253381633
"1273",141689.996278903
"1274",64018.0530447165
"1275",20851.397445144
"1276",NA
"1277",35456.2302529579
"1278",56898.1806388122
"1279",49023.1557730078
"1280",12687.5974436085
"1281",52334.5389041766
"1282",19327.251540519
"1283",68270.2576569122
"1284",60088.484864493
"1285",111779.872935325
"1286",10957.9158639471
"1287",34928.5060209038
"1288",20636.5060190793
"1289",27877.3699497407
"1290",25030.634194744
"1291",33484.7242711037
"1292",118986.674759897
"1293",25829.3111290024
"1294",24101.6413711183
"1295",50125.9137368595
"1296",28768.7983813493
"1297",36909.4773369846
"1298",26789.6287650559
"1299",48077.550291155
"1300",44981.6399080105
"1301",17716.4845416576
"1302",69896.5394866953
"1303",47994.1829068478
"1304",142485.750848851
"1305",52849.5352423949
"1306",72241.5870238534
"1307",33557.9267813414
"1308",17755.4715385483
"1309",16347.5545546278
"1310",32699.0066968041
"1311",37188.2655154144
"1312",57608.9880605522
"1313",5564.68510763053
"1314",57990.5634835113
"1315",35379.5445048657
"1316",45353.7397984898
"1317",59834.7451767514
"1318",33822.8007933677
"1319",67753.3610058799
"1320",47233.9597784669
"1321",34807.1632919809
"1322",36281.9887360589
"1323",41119.5679202795
"1324",38387.1882827395
"1325",33349.1597476503
"1326",46159.4409406096
"1327",43543.5393012713
"1328",32383.7480016273
"1329",43471.2824500944
"1330",43929.8751234979
"1331",16844.4204637588
"1332",25490.6723175226
"1333",46874.4812391273
"1334",48941.2263758523
