"","X","sale_price","size","Address","Cities","Postal.Code","State","lon","lat","Full.Address","sqft","bath","bed","psf","Predicted.Occupancy.per.yr","ROI"
"36",36,595000,"4bd3ba2,068 sqft","82 Madison Ave","Asheville",28801,"NC",-82.54876,35.605963,"82 madison ave, asheville, nc 28801, usa",2068,3,4,287.72,190.8252506,0.0580447019922335
"37",37,349900,"3bd2ba1,566 sqft (on 0.29 acres)","138 Hemphill Rd","Asheville",28803,"NC",-82.484848,35.5642236,"138 hemphill rd, asheville, nc 28803, usa",1566,2,3,223.44,193.637703,3.75463518515802
"38",38,745000,"3bd3ba1,896 sqft","23 Mauricet Ln","Asheville",28806,"NC",-82.5932109,35.5842065,"23 mauricet ln, asheville, nc 28806, usa",1896,3,3,392.93,192.2728449,0.0327952952270369
"39",39,350000,"3bd2ba1,412 sqft (on 1.20 acres)","37 Church Rd","Asheville",28804,"NC",-82.592639,35.6378669,"37 church rd, woodfin, nc 28804, usa",1412,2,3,247.88,194.3174868,0.0497082637692909
"40",40,285000,"2bd1ba945 sqft","55 Deaver Park Cir","Asheville",28806,"NC",-82.6244761,35.5793156,"55 deaver park cir, asheville, nc 28806, usa",945,1,2,301.59,192.5009173,0.0519597687892021
"41",41,925000,"4bd3ba2,509 sqft (on 0.36 acres)","42 Rosewood Ave","Asheville",28801,"NC",-82.5700823,35.6027028,"42 rosewood ave, asheville, nc 28801, usa",2509,3,4,368.67,224.369164,0.047104626341499
"42",42,650000,"3bd3ba2,466 sqft","10 Holland Mountain Vw","Asheville",28804,"NC",-82.5882751,35.6926283,"10 holland mountain vw, asheville, nc 28804, usa",2466,3,3,263.58,171.9586198,NA
"43",43,649000,"2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave","Asheville",28803,"NC",-82.5413349,35.5814223,"109 thurland ave, asheville, nc 28803, usa",1430,3,2,453.85,209.2885506,0.0331197369663713
"44",44,599900,"3bd3ba1,538 sqft","35 Rangeley Dr","Asheville",28803,"NC",-82.5158649,35.5373596,"35 rangeley dr, asheville, nc 28803, usa",1538,3,3,390.05,189.3493176,0.0561040860228905
"45",45,2490000,"4bd5ba3,782 sqft (on 0.67 acres)","325 Flowering Vine Ct","Asheville",28803,"NC",-82.5530804,35.5020185,"flowering vine ct, north carolina 28803, usa",3782,5,4,658.38,194.0276061,NA
"46",46,430000,"7bd3,108 sqft (on 1.58 acres)","18 Willow Ct","Asheville",28805,"NC",-82.478271,35.604754,"18 willow ct, asheville, nc 28805, usa",3108,NA,7,138.35,212.2216584,0.0870890235648956
"47",47,249000,"3bd2ba1,523 sqft (on 0.48 acres)","25 Udell Ct","Asheville",28806,"NC",-82.6428369,35.5775058,"25 udell ct, asheville, nc 28806, usa",1523,2,3,163.49,187.5129433,0.0751378600397466
