"sale_price","size","name"
"$750,000","4bd3ba2,976 sqft (on 0.74 acres)","305 E  Sondley Dr, Asheville, NC 28805"
"$345,000","3bd2ba1,271 sqft","3 Pelzer St, Asheville, NC 28804"
"$1,525,000","4bd4ba4,038 sqft (on 3.37 acres)","7 Snowbird Dr, Asheville, NC 28804"
"$54,100+","3bd2ba928 sqft","69394 Plan in Ridgeview - Active 55+ Senior Community, Asheville, NC 28806"
"$310,000","2bd2ba1,045 sqft","9 Rocking Porch Rd   #3A, Asheville, NC 28805"
"$899,000","4bd3ba2,724 sqft (on 0.57 acres)","8 Bevlyn Dr, Asheville, NC 28803"
"$599,000","2bd3ba2,296 sqft (on 0.35 acres)","22 Carjen Ave, Asheville, NC 28804"
"$724,475","4bd3ba1,994 sqft (on 0.32 acres)","134 Lookout Dr, Asheville, NC 28804"
"$435,990+","4bd3ba2,824 sqft","Wilmington Plan in Fountain Park, Asheville, NC 28806"
"$349,900","","8 Grovepoint Way, Asheville, NC 28804"
"$149,900","","70 Windover Dr, Asheville, NC 28803"
"$428,990+","4bd3ba2,565 sqft","Winston Plan in Fountain Park, Asheville, NC 28806"
"$725,000","2bd5ba2,646 sqft (on 0.38 acres)","119 Bull Mountain Rd, Asheville, NC 28805"
"$2,650,000","4bd3ba3,892 sqft (on 0.29 acres)","158 Kimberly Ave, Asheville, NC 28804"
"$1,200,000","4bd2ba3,228 sqft (on 1.19 acres)","13 Kent Pl, Asheville, NC 28804"
"$299,999","4bd2ba1,488 sqft (on 0.28 acres)","14 Fortunate Dr, Asheville, NC 28806"
"$3,395,000","4bd4ba4,508 sqft (on 7.67 acres)","29 Elk Ridge Dr, Asheville, NC 28804"
"$318,990+","3bd3ba1,674 sqft","Denver Plan in Fountain Park Townhomes, Asheville, NC 28806"
"$780,000","2bd2ba1,736 sqft","13 Park Ave N, Asheville, NC 28801"
"$1,450,000","4bd5ba3,886 sqft (on 1.34 acres)","210 Bridgeman Dr, Asheville, NC 28803"
"$321,990+","3bd3ba1,699 sqft","Lansing Plan in Fountain Park Townhomes, Asheville, NC 28806"
"$428,990+","4bd3ba2,644 sqft","Biltmore Plan in Fountain Park, Asheville, NC 28806"
"$325,000","","99999 Pearson Dr   #30, Asheville, NC 28801"
"$425,000","1bd1ba757 sqft","155 S  Lexington Ave  #203B, Asheville, NC 28801"
"$384,900","2bd2ba1,226 sqft","75 Belmont Ave, Asheville, NC 28806"
"$695,000","1bd2ba1,068 sqft","60 N  Market St #402, Asheville, NC 28801"
"$326,990+","3bd3ba1,774 sqft","Carson Plan in Fountain Park Townhomes, Asheville, NC 28806"
"$408,990+","4bd2ba1,764 sqft","Cali Plan in Fountain Park, Asheville, NC 28806"
"$725,000","2bd3ba2,098 sqft","902 Timber Ln   #2, Asheville, NC 28804"
"$699,000","3bd3ba2,220 sqft","22 Reagan Run Ct, Arden, NC 28704"
"$425,000","5bd3ba2,185 sqft (on 0.26 acres)","10 Springdale Rd, Asheville, NC 28805"
"$949,900","4bd6ba5,500 sqft (on 2.05 acres)","136 Windover Dr, Asheville, NC 28803"
"$269,000","2bd2ba1,236 sqft","54 Pebble Creek Dr, Asheville, NC 28803"
"$650,000","4bd4ba2,809 sqft","111 Trumpet Ln, Asheville, NC 28803"
"$450,000","3bd2ba1,307 sqft (on 0.33 acres)","44 Overlook Rd, Asheville City, NC 28803"
"$675,000","3bd3ba1,977 sqft","975 New Haw Creek Rd, Asheville, NC 28805"
"$650,000","3bd2ba1,412 sqft","91 Virginia Ave  #&-10, Asheville, NC 28806"
"$719,000","3bd3ba2,700 sqft","321 Hazel Mill Rd, Asheville, NC 28806"
"$367,000","3bd2ba1,782 sqft (on 0.32 acres)","2 Valleywood Ct, Asheville, NC 28803"
"$650,000","2bd1ba1,412 sqft","91 Virginia Ave, Asheville, NC 28806"
"$379,000","2bd1ba844 sqft","71 5th Ave, Asheville, NC 28806"
"$525,000","1bd1ba625 sqft (on 1.73 acres)","362 New Haw Creek Rd, Asheville, NC 28805"
"$419,900","3bd2ba1,100 sqft (on 0.92 acres)","320 Olivette Rd, Asheville, NC 28804"
"$409,000","3bd3ba1,755 sqft","861 W  Pointe Dr, Asheville, NC 28806"
"$235,000","","99999 Howland Rd, Asheville, NC 28804"
"$825,000","3bd3ba1,624 sqft (on 0.25 acres)","21 Pinewood Ave, Asheville, NC 28804"
"$599,999","","80 Park Ave N, Asheville, NC 28801"
"$2,250,000","3bd4ba4,193 sqft (on 0.58 acres)","7 Bee Balm Way, Asheville, NC 28804"
"$1,099,000","5bd4ba4,226 sqft (on 0.51 acres)","1032 Columbine Rd, Asheville, NC 28803"
"$299,000","3bd2ba1,040 sqft (on 0.32 acres)","328 Camelia Ln, Asheville, NC 28806"
"$1,110,000","5bd4ba3,141 sqft (on 0.37 acres)","912 Woodvine Rd, Asheville, NC 28803"
"$500,000","4bd3ba2,346 sqft (on 0.37 acres)","32 Spring Forest Cir, Asheville, NC 28803"
"$300,000","3bd3ba1,346 sqft","118 Rotunda Cir, Asheville, NC 28806"
"$410,990+","3bd3ba2,207 sqft","Pinehurst Plan in Fountain Park, Asheville, NC 28806"
"$509,900","2bd2ba1,195 sqft","175 S  Lexington Ave #101, Asheville, NC 28801"
"$1,437,500","4bd3ba3,478 sqft (on 0.27 acres)","82 Caledonia Rd, Asheville, NC 28803LISTED 12 DAYS AGO"
"$899,000","3bd3ba2,266 sqft","44 Westchester Dr, Asheville, NC 28803LISTED 12 DAYS AGO"
"$100,000","","99999 Independence Blvd #A, Asheville, NC 28805LISTED 12 DAYS AGO"
"$120,000","","99999 Independence Blvd #C, Asheville, NC 28805LISTED 12 DAYS AGO"
"$100,000","","99999 Independence Blvd #B, Asheville, NC 28805LISTED 12 DAYS AGO"
"$329,900","3bd1ba1,000 sqft (on 0.75 acres)","297 Merrills Cove Rd, Asheville, NC 28803LISTED 12 DAYS AGO"
"$799,000","3bd3ba2,621 sqft (on 0.27 acres)","818 Haywood Rd, Asheville, NC 28806LISTED 12 DAYS AGO"
"$400,000","4bd3ba1,479 sqft (on 0.47 acres)","307 Westforest Ln, Asheville, NC 28806LISTED 12 DAYS AGO"
"$1,325,000","3bd3ba1,777 sqft","60 N  Market St #217, Asheville, NC 28801LISTED 19 DAYS AGO"
"$525,000","3bd3ba1,748 sqft","931 Tunnel Rd, Asheville, NC 28805LISTED 12 DAYS AGO"
"$510,000","2bd1ba1,204 sqft (on 3.39 acres)","48-70 McKinney Rd, Asheville, NC 28806LISTED 13 DAYS AGO"
"$2,295,000","3bd4ba2,926 sqft (on 4.90 acres)","500 Lynn Cove Rd, Asheville, NC 28804LISTED 13 DAYS AGO"
"$320,000","","99999 Independence Blvd, Asheville, NC 28805LISTED 13 DAYS AGO"
"$419,990+","4bd3ba2,454 sqft","Charleston Plan in Fountain Park, Asheville, NC 28806"
"$499,000","3bd2ba1,301 sqft","44 Porter Hill Ln, Asheville, NC 28803LISTED 15 DAYS AGO"
"$449,999","3bd3ba1,892 sqft (on 0.72 acres)","2 Powers Dr, Asheville, NC 28806LISTED 15 DAYS AGO"
"$319,900","3bd2ba1,372 sqft (on 0.77 acres)","222 Bee Ridge Rd, Asheville, NC 28803LISTED 18 DAYS AGO"
"$750,000","3bd3ba2,663 sqft (on 0.92 acres)","615 Rose Hill Rd, Asheville, NC 28803LISTED 18 DAYS AGO"
"$274,900","3bd2ba1,400 sqft (on 1.40 acres)","103 Old Leicester Rd, Asheville, NC 28804LISTED 15 DAYS AGO"
"$1,050,000","5bd3ba3,244 sqft (on 0.43 acres)","414 Lakeshore Dr, Asheville, NC 28804LISTED 19 DAYS AGO"
"$769,000","3bd3ba2,350 sqft","14 Trevors Trl, Asheville, NC 28806LISTED 18 DAYS AGO"
"$1,000,000","3bd3ba2,297 sqft (on 1.65 acres)","6 Stegall Ln, Asheville, NC 28805LISTED 15 DAYS AGO"
"$789,900","3bd3ba2,606 sqft","101 Courtland Ave, Asheville, NC 28801LISTED 16 DAYS AGO"
"$420,990","4bd3ba1,995 sqft","753 Fountain Park Blvd, Asheville, NC 28806LISTED 16 DAYS AGO"
"$749,900","3bd3ba2,103 sqft","50 Clinton Ave, Asheville, NC 28806LISTED 16 DAYS AGO"
"$500,000","1bd1ba758 sqft","Address Not Disclosed, Asheville, NC 28801LISTED 16 DAYS AGO"
"$789,000","5bd4ba3,075 sqft (on 0.61 acres)","101 Coachmans Trl, Asheville, NC 28803LISTED 18 DAYS AGO"
"$1,175,000","5bd4ba4,255 sqft (on 1.01 acres)","22 Barebridge Hills Dr, Asheville, NC 28804LISTED 19 DAYS AGO"
"$159,500","","99999 Sunnyview Ter  #C, Asheville, NC 28804LISTED 17 DAYS AGO"
"$149,500","","99999 Sunnyview Ter  #B, Asheville, NC 28804LISTED 17 DAYS AGO"
"$259,000","","68 Sweet Fern Pkwy #50, Asheville, NC 28804LISTED 17 DAYS AGO"
"$1,200,000","4bd5ba4,559 sqft (on 0.52 acres)","904 Woodvine Rd, Asheville, NC 28803LISTED 28 DAYS AGO"
"$1,195,000","4bd3ba2,932 sqft (on 21.19 acres)","51 Rice Branch Rd, Asheville City, NC 28804LISTED 17 DAYS AGO"
"$1,200,000","3bd4ba3,108 sqft (on 4.13 acres)","24 Ridgeview Way, Asheville, NC 28803LISTED 20 DAYS AGO"
"$245,000","2bd1ba884 sqft","130 Warren Haynes Dr, Asheville, NC 28806LISTED 16 DAYS AGO"
"$1,350,000","5bd4ba3,241 sqft (on 0.32 acres)","123 Edwin Pl, Asheville, NC 28801LISTED 20 DAYS AGO"
"$584,500","3bd3ba1,510 sqft","304 Jenna Clare Ln   #4, Asheville, NC 28803LISTED 18 DAYS AGO"
"$584,500","3bd3ba1,510 sqft","300 Jenna Clare Ln   #3, Asheville, NC 28803LISTED 18 DAYS AGO"
"$485,000","2bd1ba1,032 sqft","107 Annandale Ave, Asheville, NC 28801LISTED 19 DAYS AGO"
"$459,000","3bd1ba1,080 sqft","17 Mount Clare Ave, Asheville, NC 28801LISTED 18 DAYS AGO"
"$1,250,000","3bd4ba2,287 sqft","405 W  Haywood St, Asheville, NC 28801LISTED 17 DAYS AGO"
"$405,990+","4bd3ba1,995 sqft","Concord Plan in Fountain Park, Asheville, NC 28806"
"$824,900","3bd4ba2,527 sqft","7 Shaker Ct, Asheville, NC 28805LISTED 19 DAYS AGO"
"$135,000","","99999 Leisure Mountain Rd   #22, Asheville, NC 28804LISTED 19 DAYS AGO"
"$199,000","","9999 Riverside Dr, Asheville, NC 28804LISTED 19 DAYS AGO"
"$550,000","3bd2ba2,124 sqft (on 0.50 acres)","23 Rolling Hill Dr, Asheville, NC 28806LISTED 19 DAYS AGO"
"$2,000,000","4bd6ba4,877 sqft (on 2.55 acres)","21 Honey Dr, Asheville, NC 28805LISTED 19 DAYS AGO"
"$315,000","2bd2ba1,211 sqft","305 Piney Mountain Dr #O2, Asheville, NC 28805LISTED 19 DAYS AGO"
"$235,000","1bd1ba1,023 sqft","9 Kenilworth Knls #107, Asheville, NC 28805LISTED 19 DAYS AGO"
"$650,000","3bd3ba2,357 sqft","39 Creekside View Dr, Asheville, NC 28804LISTED 20 DAYS AGO"
"$439,000","3bd1ba1,160 sqft","21 Fulton St   #2, Asheville, NC 28801LISTED 23 DAYS AGO"
"$450,000","","130 Lochstead Ct, Asheville, NC 28803LISTED 20 DAYS AGO"
"$450,000","3bd3ba2,179 sqft","539 Crowfields Ln, Asheville, NC 28803LISTED 20 DAYS AGO"
"$125,000","","126 Winston Ave, Asheville, NC 28803LISTED 21 DAYS AGO"
"$750,000","3bd2ba1,823 sqft (on 0.43 acres)","272 Lakewood Dr, Asheville, NC 28803LISTED 21 DAYS AGO"
"","","104 Windcliff Dr, Asheville, NC 28803LISTED 21 DAYS AGO"
"$1,200,000","","5 Horizon Hill Rd, Asheville, NC 28804LISTED 23 DAYS AGO"
"$279,900","","16 Snap Dragon Ct   #4, Asheville, NC 28804LISTED 23 DAYS AGO"
"$365,000","2bd1ba850 sqft","50 Jarrett St   #10, Asheville, NC 28806LISTED 23 DAYS AGO"
"$450,000","","99999 Locust St   #1 & 5, Asheville, NC 28804LISTED 23 DAYS AGO"
"$450,000","","33 Grovepoint Way  #12, Asheville, NC 28804LISTED 23 DAYS AGO"
