"sale_price","size","name"
"$1,500,000","3bd2ba1,609 sqft","59 Creighton St   #2, Cambridge, MA 02140LISTED 81 DAYS AGO"
"$1,299,999","4bd2ba1,930 sqft","156 Auburn St   #R, Cambridge, MA 02139LISTED 81 DAYS AGO"
"$594,000","1bd1ba534 sqft","16 Chauncy St #42, Cambridge, MA 02138LISTED 73 DAYS AGO"
"$1,549,800","3bd2ba1,476 sqft","12 Arnold Cir  #10, Cambridge, MA 02139LISTED 73 DAYS AGO"
"$2,900,000","3bd2ba3,863 sqft","158 Auburn St, Cambridge, MA 02139LISTED 75 DAYS AGO"
"$2,600,000","5bd5ba3,939 sqft","57 & 59 Creighton St, Cambridge, MA 02140LISTED 82 DAYS AGO"
"$42,000","","6 Eight Whittier Place Pass #73, Boston, MA 02114LISTED 142 DAYS AGO"
"$2,990,000","9bd3ba3,429 sqft","12 Merrill St, Cambridge, MA 02139LISTED 142 DAYS AGO"
"$2,950,000","5bd3ba7,677 sqft","140 Otis St, Cambridge, MA 02141LISTED 94 DAYS AGO"
"$1,080,000","2bd2ba1,060 sqft","332 Franklin St   #600, Cambridge, MA 02139LISTED 130 DAYS AGO"
"$364,900","Studio1ba390 sqft","863 Massachusetts Ave #14, Cambridge, MA 02139LISTED 103 DAYS AGO"
"$3,100,000","10bd7ba4,612 sqft","222 Charles St, Cambridge, MA 02141LISTED 88 DAYS AGO"
"$599,000","1bd1ba665 sqft","55 Magazine St #19, Cambridge, MA 02139LISTED 100 DAYS AGO"
"$7,450,000","3bd4ba4,037 sqft (on 0.34 acres)","172 Brattle St, Cambridge, MA 02138LISTED 160 DAYS AGO"
"$1,195,000","3bd2ba1,199 sqft","124 Thorndike St, Cambridge, MA 02141LISTED 101 DAYS AGO"
"$749,000","3bd2ba1,198 sqft","86 Kirkland St #2R, Cambridge, MA 02138LISTED 143 DAYS AGO"
"$729,000","1bd1ba811 sqft","8 Museum Way  #603, Cambridge, MA 02141LISTED 109 DAYS AGO"
"$1,690,000","3bd3ba1,811 sqft","7-7 Pine St   #9, Cambridge, MA 02139LISTED 123 DAYS AGO"
"$1,998,000","3bd4ba2,423 sqft","61 Upland Rd, Cambridge, MA 02140LISTED 123 DAYS AGO"
"$2,575,000","6bd4ba3,696 sqft","50 Concord Ave, Cambridge, MA 02138LISTED 138 DAYS AGO"
"$2,295,000","6bd8ba5,789 sqft","133 Fayerweather St, Cambridge, MA 02138LISTED 117 DAYS AGO"
"$999,900","2bd2ba1,121 sqft","332 Franklin St   #702, Cambridge, MA 02139LISTED 121 DAYS AGO"
"$899,000","2bd1ba942 sqft","55 Magazine St #31, Cambridge, MA 02139LISTED 158 DAYS AGO"
"$519,000","1bd1ba579 sqft","4 King Pl #3, Cambridge, MA 02139LISTED 129 DAYS AGO"
"$930,000","4bd2ba1,528 sqft","19 Cottage Park Ave, Cambridge, MA 02140"
"$469,900","Studio1ba386 sqft","16 Chauncy St #10, Cambridge, MA 02138"
"$1,695,000","3bd3ba1,522 sqft","154 Thorndike St   #154, Cambridge, MA 02141"
"$8,700,000","3bd4ba2,720 sqft","975 Memorial Dr #906, Cambridge, MA 02138"
"$1,795,000","4bd3ba1,920 sqft","35 Berkshire St   #1, Cambridge, MA 02141"
"$2,750,000","12bd6ba4,413 sqft","28-30 Clay St, Cambridge, MA 02140"
"$829,000","2bd3ba1,289 sqft","11 Van Norden St   #1, Cambridge, MA 02140"
"$1,250,000","7bd3ba2,340 sqft","10 Rockwell St, Cambridge, MA 02139"
"$729,000","1bd1ba663 sqft","8 Museum Way  #1807, Cambridge, MA 02141"
"$9,900,000","7bd7ba5,709 sqft (on 0.64 acres)","165 Brattle St, Cambridge, MA 02138"
"$219,900","3bd2ba","7737 S  Knox Ave, Chicago, IL 60652"
"$412,000","4bd2ba","2652 N  Meade Ave, Chicago, IL 60639"
"$325,000","4bd2ba1,800 sqft","6048 S  Menard Ave, Chicago, IL 60638"
"$575,000","2bd3ba","1006 N  Wolcott Ave #2, Chicago, IL 60622"
"$224,900","2bd1ba942 sqft","1335 W  Lunt Ave #2J, Chicago, IL 60626"
"$445,000","6bd3ba","1721 N  Monitor Ave, Chicago, IL 60639"
"$162,900","3bd1ba1,000 sqft","14041 S  Marquette Ave, Burnham, IL 60633"
"$219,000","1bd1ba910 sqft","550 W  Brompton Ave #2S, Chicago, IL 60657"
"$114,900","4bd1ba1,200 sqft","10106 S  Yates Blvd, Chicago, IL 60617"
"$385,000","2bd1ba1,000 sqft","1921 N  Bissell St #B, Chicago, IL 60614"
"$104,900","4bd2ba1,268 sqft","8229 S  East End Ave, Chicago, IL 60617"
"$319,000","7bd2ba","6933 S  Carpenter St, Chicago, IL 60621"
"$329,900","5bd2ba1,600 sqft","10948 S  Esmond St, Chicago, IL 60643"
"$124,950","Studio1ba500 sqft","420 W  Aldine Ave #226, Chicago, IL 60657"
"$287,900","4bd2ba1,100 sqft","9750 S  Lowe Ave, Chicago, IL 60628"
"$199,500","3bd2ba1,900 sqft","9924 S  Yale Ave, Chicago, IL 60628"
"$224,900","3bd2ba1,400 sqft","10602 S  Prairie Ave, Chicago, IL 60628"
"$739,000","4bd4ba3,800 sqft","4255 N  Saint Louis Ave, Chicago, IL 60618"
"$69,999","1bd1ba800 sqft","7363 S  South Shore Dr #209, Chicago, IL 60649"
"$369,900","4bd2ba1,151 sqft","2941 W  97th St, Evergreen Park, IL 60805"
"$50,000","2bd1ba1,200 sqft","2221 E  70th Pl   #1C, Chicago, IL 60649"
"$259,000","1bd1ba","600 N  Kingsbury St #705, Chicago, IL 60654"
"$289,900","1bd1ba","1322 S  Prairie Ave #409, Chicago, IL 60605"
"$729,000","2bd2ba1,358 sqft","240 E  Illinois St #2601, Chicago, IL 60611"
"$270,000","4bd3ba1,362 sqft","10358 S  Emerald Ave, Chicago, IL 60628"
"$220,000","10bd4ba","716 E  90th St, Chicago, IL 60619"
"$325,000","2bd2ba1,150 sqft","655 W  Irving Park Rd #4101, Chicago, IL 60613"
"$390,000","5bd2ba","2034 N  Bingham St, Chicago, IL 60647"
"$350,000","2bd2ba1,600 sqft","4721 N  Malden St, Chicago, IL 60640"
"$238,953","4bd3ba1,100 sqft","7045 S  Winchester Ave, Chicago, IL 60636"
"$640,000","3bd2ba2,300 sqft","1210 N  Astor St #3B, Chicago, IL 60610"
"$210,000","3bd2ba","6137 W  64th Pl #105, Chicago, IL 60638"
"$251,900","4bd2ba1,200 sqft","3757 W  67th Pl, Chicago, IL 60629"
"$390,000","6bd3ba","Address Not Disclosed, Chicago, IL 60620"
"$739,000+","3bd3ba2,500 sqft","Floorplans in Artesian, Chicago, IL 60622"
"$199,000","2bd2ba1,000 sqft","7904 W  North Ave #203E, Elmwood Park, IL 60707"
"$259,900","4bd3ba1,700 sqft","6753 S  Indiana Ave, Chicago, IL 60637"
"$229,000","2bd2ba","1445 N  State Pkwy #2004, Chicago, IL 60610"
"$349,000","3bd2ba1,320 sqft","4452 W  Dakin St   #E, Chicago, IL 60641"
"$1,349,999","3bd3ba3,400 sqft","60 W  Erie St #601, Chicago, IL 60654"
"$95,000","2bd1ba820 sqft","9133 S  Colfax Ave, Chicago, IL 60617LISTED 1 DAY AGO"
"$975,000","5bd4ba3,990 sqft","1644 N  Campbell Ave, Chicago, IL 60647LISTED 1 DAY AGO"
"$289,900","3bd2ba","3531 W  Hirsch St, Chicago, IL 60651LISTED 1 DAY AGO"
"$195,000","2bd1ba","7224 W  Wrightwood Ave  #302, Elmwood Park, IL 60707LISTED 2 DAYS AGO"
"$147,000","3bd2ba1,629 sqft","8522 S  Blackstone Ave, Chicago, IL 60619LISTED 2 DAYS AGO"
"$300,000","6bd2ba","7942 S  Loomis Blvd, Chicago, IL 60620LISTED 2 DAYS AGO"
"$175,000","4bd2ba1,062 sqft","9237 S  University Ave, Chicago, IL 60619LISTED 2 DAYS AGO"
"$339,500","4bd3ba","5150 S  Leclaire Ave, Chicago, IL 60638LISTED 2 DAYS AGO"
"$439,900","7bd3ba","2914 N  Ridgeway Ave, Chicago, IL 60618LISTED 2 DAYS AGO"
"$250,000","1bd1ba","1632 S  Indiana Ave #706, Chicago, IL 60616LISTED 2 DAYS AGO"
"$234,000","3bd2ba1,750 sqft","6038 N  Claremont Ave #3S, Chicago, IL 60659LISTED 2 DAYS AGO"
"$189,000","1bd1ba900 sqft","5445 N  Sheridan Rd #3910, Chicago, IL 60640LISTED 2 DAYS AGO"
"$237,500","1bd1ba755 sqft","535 N  Michigan Ave #803, Chicago, IL 60611LISTED 2 DAYS AGO"
"$365,000","2bd2ba1,510 sqft","7258 W  Rascher Ave, Chicago, IL 60656LISTED 2 DAYS AGO"
"$298,900","3bd2ba1,056 sqft","9725 S  Yale Ave, Chicago, IL 60628LISTED 2 DAYS AGO"
"$116,600","1bd1ba986 sqft","7033 N  Kedzie Ave #1614, Chicago, IL 60645LISTED 2 DAYS AGO"
"$849,900","5bd4ba3,654 sqft","4824 N  Natoma Ave, Chicago, IL 60656LISTED 2 DAYS AGO"
"$359,000","3bd3ba2,800 sqft","11621 S  Maplewood Ave, Chicago, IL 60655LISTED 2 DAYS AGO"
"$339,900","3bd2ba944 sqft","5927 W  64th Pl, Chicago, IL 60638LISTED 2 DAYS AGO"
"$399,900","5bd3ba2,200 sqft","5434 N  Newcastle Ave, Chicago, IL 60656LISTED 2 DAYS AGO"
"$589,900","4bd3ba1,869 sqft","6629 N  Washtenaw Ave, Chicago, IL 60645LISTED 2 DAYS AGO"
"$129,900","3bd2ba720 sqft","3841 S  Honore St, Chicago, IL 60609LISTED 2 DAYS AGO"
"$329,900","3bd2ba1,450 sqft","6458 S  Lamon Ave, Chicago, IL 60638LISTED 2 DAYS AGO"
"$179,000","2bd1ba950 sqft","8429 S  Vernon Ave, Chicago, IL 60619LISTED 2 DAYS AGO"
"$170,000","4bd2ba","8908 S  Parnell Ave, Chicago, IL 60620LISTED 2 DAYS AGO"
"$225,000","1bd1ba865 sqft","974 W  35th Pl #207, Chicago, IL 60609LISTED 2 DAYS AGO"
"$425,000","2bd2ba1,400 sqft","1640 W  Diversey Pkwy #2, Chicago, IL 60614LISTED 2 DAYS AGO"
"$219,000","4bd2ba","4206 S  Fairfield Ave, Chicago, IL 60632LISTED 2 DAYS AGO"
"$169,900","2bd2ba1,000 sqft","4858 S  Prairie Ave  #3B, Chicago, IL 60615LISTED 2 DAYS AGO"
"$400,000","3bd2ba1,550 sqft","5201 S  Cornell Ave #24B, Chicago, IL 60615LISTED 2 DAYS AGO"
"$134,900","4bd2ba","6940 S  Campbell Ave, Chicago, IL 60629LISTED 2 DAYS AGO"
"$1,075,000","3bd3ba2,600 sqft","400 E  Randolph St #3519, Chicago, IL 60601LISTED 2 DAYS AGO"
"$150,000","Studio1ba","450 W  Briar Pl #5E, Chicago, IL 60657LISTED 2 DAYS AGO"
"$525,000","2bd2ba1,300 sqft","1400 N  Campbell Ave  #3, Chicago, IL 60622LISTED 2 DAYS AGO"
"$549,000","6bd2ba","2627 W  Rice St, Chicago, IL 60622LISTED 2 DAYS AGO"
"$520,000","4bd2ba","1500 W  Victoria St, Chicago, IL 60660LISTED 2 DAYS AGO"
"$529,900","4bd2ba1,650 sqft","260 E  Chestnut St #3107, Chicago, IL 60611LISTED 2 DAYS AGO"
"$134,900","7bd2ba","8322 S  Baker Ave, Chicago, IL 60617LISTED 2 DAYS AGO"
"$399,999","1bd2ba","2221 N  Lister Ave #3C, Chicago, IL 60614LISTED 2 DAYS AGO"
"$599,900","3bd2ba","3816 N  Ashland Ave  #3S, Chicago, IL 60613LISTED 2 DAYS AGO"
"$299,900","4bd2ba1,453 sqft","3406 W  72nd Pl, Chicago, IL 60629"
"$549,900","2bd2ba","1201 W  Adams St #904, Chicago, IL 60607"
"$2,117,000","3bd4ba2,517 sqft","403 N  Wabash Ave  #10B, Chicago, IL 60611"
"$149,900","6bd2ba","7437 S  Harvard Ave, Chicago, IL 60621"
"$409,000","5bd2ba1,248 sqft","5600 S  Rutherford Ave, Chicago, IL 60638"
"$132,900","11bd4ba","10801 S  Hoxie Ave, Chicago, IL 60617"
"$200,000","2bd1ba1,000 sqft","2810 W  Barry Ave #3E, Chicago, IL 60618"
"$224,950","1bd1ba915 sqft","4250 N  Marine Dr #2829, Chicago, IL 60613"
"$524,000","3bd2ba3,000 sqft","1132 W  Morse Ave  #1W, Chicago, IL 60626"
"$1,399,000","8bd6ba","3255 W  Evergreen Ave, Chicago, IL 60651"
"$274,995","4bd3ba2,767 sqft","8409 S  Throop St, Chicago, IL 60620"
"$429,900","4bd2ba","6623 W  Albion Ave, Chicago, IL 60631"
"$338,900","4bd2ba1,101 sqft","7736 W  Norwood St, Chicago, IL 60631"
"$279,000","3bd2ba1,082 sqft","5527 S  California Ave, Chicago, IL 60629"
"$369,900","5bd3ba2,000 sqft","4002 S  Talman Ave, Chicago, IL 60632"
"$369,900","2bd2ba1,150 sqft","2730 N  Sawyer Ave #1S, Chicago, IL 60647"
"$599,000","2bd2ba1,400 sqft","1510 W  Grand Ave #4E, Chicago, IL 60642"
"$349,000","7bd4ba","7848 S  Dobson Ave, Chicago, IL 60619"
"$525,000","3bd3ba2,481 sqft","5004 S  Woodlawn Ave #1, Chicago, IL 60615"
"$267,000","4bd2ba1,700 sqft","1827 S  60th Ct, Cicero, IL 60804"
"$390,000","2bd2ba1,530 sqft","680 N  Lake Shore Dr #1309, Chicago, IL 60611"
"$1,899,000","","3250 S  Martin Luther King Dr, Chicago, IL 60615"
"$674,900+","3bd3ba2,400 sqft","Floor Plan in The Jackson, Chicago, IL 60612"
"$340,000","2bd1ba1,136 sqft","1350 N  Astor St   #8D, Chicago, IL 60610"
"$455,000","2bd2ba1,608 sqft","4936 N  Lincoln Ave #2N, Chicago, IL 60625"
"$439,900","3bd2ba1,624 sqft","7721 W  Sherwin Ave, Chicago, IL 60631"
"$310,000","1bd1ba837 sqft","400 N  Lasalle St   #1008, Chicago, IL 60614"
"$750,000","3bd2ba1,650 sqft","550 N  Saint Clair St #1508, Chicago, IL 60611"
"$85,900","","900 W  71st St, Chicago, IL 60621"
"$439,900","2bd2ba1,200 sqft","195 N  Harbor Dr #5305, Chicago, IL 60601"
"$149,000","4bd2ba","6718 S  Evans Ave, Chicago, IL 60637"
"$685,000","3bd2ba","1244 N  Noble St, Chicago, IL 60642"
"$305,000","3bd1ba1,518 sqft","5348 S  Natchez Ave, Chicago, IL 60638"
"$319,000","3bd2ba877 sqft","313 W  23rd St   #402, Chicago, IL 60616"
"$1,150,000","3bd3ba2,800 sqft","3800 N  Lake Shore Dr #12C, Chicago, IL 60613"
"$214,900","1bd1ba1,050 sqft","5340 N  Lowell Ave #209, Chicago, IL 60630"
"$179,900","4bd2ba1,430 sqft","10404 S  Indiana Ave, Chicago, IL 60628"
"$159,750","3bd1ba1,100 sqft","9135 S  Spaulding Ave, Evergreen Park, IL 60805"
"$259,900","4bd2ba1,472 sqft","9347 S  Colfax Ave, Chicago, IL 60617"
"$60,000","3bd1ba960 sqft","7526 S  Dorchester Ave, Chicago, IL 60619"
"$135,000","2bd1ba894 sqft","10840 S  Rhodes Ave, Chicago, IL 60628LISTED 2 DAYS AGO"
"$249,900","3bd2ba1,200 sqft","11436 S  Avenue J, Chicago, IL 60617LISTED 2 DAYS AGO"
"$85,000","10bd4ba","8753 S  Escanaba Ave, Chicago, IL 60617LISTED 2 DAYS AGO"
"$2,450,000","6bd7ba","3824 N  Lakewood Ave, Chicago, IL 60613LISTED 2 DAYS AGO"
"$949,999","5bd6ba4,500 sqft","8292 W  Ainslie St, Norridge, IL 60706LISTED 2 DAYS AGO"
"$165,000","3bd1ba3,250 sqft","2140 W  83rd St, Chicago, IL 60620LISTED 2 DAYS AGO"
"$359,900","3bd3ba2,700 sqft","13216 S  Escanaba Ave, Chicago, IL 60633LISTED 2 DAYS AGO"
"$699,000","4bd4ba","2529 W  Lexington St, Chicago, IL 60612LISTED 2 DAYS AGO"
"$799,900","2bd2ba1,473 sqft","240 E  Illinois St #2511, Orland Park, IL 60611LISTED 2 DAYS AGO"
"$264,900","1bd1ba","4745 N  Ravenswood Ave #404, Chicago, IL 60640LISTED 2 DAYS AGO"
"$325,000","5bd3ba","5156 S  Spaulding Ave, Chicago, IL 60632LISTED 2 DAYS AGO"
"$230,000","3bd2ba","7043 W  71st St, Chicago, IL 60638LISTED 2 DAYS AGO"
"$132,900","1bd1ba","6301 N  Sheridan Rd #14H, Chicago, IL 60660LISTED 2 DAYS AGO"
"$475,000","2bd2ba1,600 sqft","1144 W  Diversey Pkwy #2, Chicago, IL 60614LISTED 2 DAYS AGO"
"$5,300","","Address Not Disclosed, Chicago, IL 60621"
"$525,000","3bd3ba1,860 sqft","3300 N  Lake Shore Dr #5B, Chicago, IL 60657LISTED 2 DAYS AGO"
"$289,000","4bd3ba1,060 sqft","11420 S  Vincennes Ave, Chicago, IL 60643LISTED 2 DAYS AGO"
"$1,500,000","6bd4ba","1110 W  Addison St, Chicago, IL 60613LISTED 2 DAYS AGO"
"$285,000","2bd2ba1,400 sqft","5445 N  Sheridan Rd #412, Chicago, IL 60640LISTED 2 DAYS AGO"
"$139,999","Studio1ba","2626 N  Lakeview Ave #3706, Chicago, IL 60614LISTED 2 DAYS AGO"
"$465,000","4bd2ba","3844 N  Sawyer Ave, Chicago, IL 60618LISTED 2 DAYS AGO"
"$339,000","2bd2ba925 sqft","2812 N  75th Ave, Elmwood Park, IL 60707LISTED 2 DAYS AGO"
"$299,000","2bd2ba1,226 sqft","4811 N  Olcott Ave #213, Harwood Heights, IL 60706LISTED 2 DAYS AGO"
"$394,900","5bd3ba","6057 W  Lawrence Ave, Chicago, IL 60630LISTED 2 DAYS AGO"
"$225,000","2bd2ba1,431 sqft","11013 S  Sawyer Ave, Chicago, IL 60655LISTED 2 DAYS AGO"
"$389,000","8bd3ba","7114 S  Drexel Ave, Chicago, IL 60619LISTED 2 DAYS AGO"
"$335,000","3bd2ba1,450 sqft","7057 N  Damen Ave #1S, Chicago, IL 60645LISTED 2 DAYS AGO"
"$165,000","2bd2ba1,400 sqft","4023 S  Calumet Ave #3N, Chicago, IL 60653LISTED 2 DAYS AGO"
"$1,775,000","2bd2ba2,575 sqft","680 N  Lake Shore Dr #2300, Chicago, IL 60611LISTED 2 DAYS AGO"
"$560,000","4bd3ba1,750 sqft","924 W  Wrightwood Ave  #C-F, Chicago, IL 60614LISTED 2 DAYS AGO"
"$219,000","1bd1ba","1919 S  Michigan Ave #203, Chicago, IL 60616LISTED 2 DAYS AGO"
"$399,000","4bd3ba1,800 sqft","10405 S  Albany Ave, Chicago, IL 60655LISTED 2 DAYS AGO"
"$279,900","2bd2ba1,460 sqft","6007 Sheridan Rd   #31F, Chicago, IL 60660LISTED 2 DAYS AGO"
"$1,099,000","5bd5ba4,500 sqft","4838 N  Prospect Ave, Norridge, IL 60706LISTED 2 DAYS AGO"
"$575,000","5bd4ba","2636 N  76th Ave, Chicago, IL 60707LISTED 2 DAYS AGO"
"$480,000","2bd2ba1,136 sqft","450 E  Waterside Dr #1810, Chicago, IL 60601LISTED 2 DAYS AGO"
"$229,999","5bd3ba","10410 S  Maryland Ave, Chicago, IL 60628LISTED 2 DAYS AGO"
"$219,900","4bd2ba2,252 sqft","12636 S  Throop St, Calumet Park, IL 60827LISTED 2 DAYS AGO"
"$239,900","6bd3ba1,000 sqft","12810 S  Union Ave, Chicago, IL 60628LISTED 2 DAYS AGO"
"$399,000","6bd2ba","6804 S  Champlain Ave, Chicago, IL 60637LISTED 2 DAYS AGO"
"$289,900","3bd2ba1,347 sqft","5947 S  Parkside Ave, Chicago, IL 60638LISTED 2 DAYS AGO"
"$389,900","7bd3ba","563 N  Lawler Ave, Chicago, IL 60644LISTED 2 DAYS AGO"
"$595,000","3bd2ba2,870 sqft","711 S  Dearborn St #401, Chicago, IL 60605LISTED 2 DAYS AGO"
"$1,650,000","4bd4ba3,033 sqft","21 E  Huron St #3703, Chicago, IL 60611LISTED 2 DAYS AGO"
"$74,900","4bd1ba1,250 sqft","329 W  109th Pl, Chicago, IL 60628LISTED 2 DAYS AGO"
"$2,250,000","6bd5ba5,218 sqft","1651 N  Burling St, Chicago, IL 60614LISTED 2 DAYS AGO"
"$359,900","2bd1ba","1750 N  Wells St #403, Chicago, IL 60614LISTED 2 DAYS AGO"
"$239,500","4bd2ba1,900 sqft","734 W  50th St, Chicago, IL 60609LISTED 2 DAYS AGO"
"$380,000","9bd4ba","8019 S  Rhodes Ave, Chicago, IL 60619LISTED 2 DAYS AGO"
"$465,000","2bd3ba2,500 sqft","3500 N  Lake Shore Dr   #4A, Chicago, IL 60657LISTED 2 DAYS AGO"
"$379,000","5bd2ba2,500 sqft","3433 N  Opal Ave, Chicago, IL 60634LISTED 2 DAYS AGO"
"$119,500","2bd1ba850 sqft","10801 S  Pulaski Rd #9, Chicago, IL 60655LISTED 2 DAYS AGO"
"$449,900","2bd2ba1,200 sqft","1635 W  Belmont Ave #520, Chicago, IL 60657LISTED 2 DAYS AGO"
"$180,000","2bd1ba1,100 sqft","1243 W  Rosemont Ave, Chicago, IL 60660LISTED 2 DAYS AGO"
"$365,000","2bd2ba1,158 sqft","950 W  Leland Ave #312, Chicago, IL 60640LISTED 2 DAYS AGO"
"$289,900","1bd1ba900 sqft","5 14th Pl   #1102, Chicago, IL 60605LISTED 2 DAYS AGO"
"$1,369,995","5bd4ba","3109 N  Damen Ave, Chicago, IL 60618LISTED 2 DAYS AGO"
"$450,000","1bd1ba873 sqft","600 N  Fairbanks Ct #3503, Chicago, IL 60611LISTED 2 DAYS AGO"
"$399,900","5bd3ba2,400 sqft","9636 S  Claremont Ave, Chicago, IL 60643LISTED 2 DAYS AGO"
"$499,000","10bd3ba","2562 W  Washington Blvd, Chicago, IL 60612LISTED 2 DAYS AGO"
"$190,000","5bd2ba","4901 W  Jackson Blvd, Chicago, IL 60644LISTED 2 DAYS AGO"
"$278,500","4bd2ba1,400 sqft","9752 S  Wallace St, Chicago, IL 60628LISTED 2 DAYS AGO"
"$237,000","6bd2ba","8638 S  Burnham Ave, Chicago, IL 60617LISTED 2 DAYS AGO"
"$150,000","7bd2ba","144 S  Sacramento Blvd, Chicago, IL 60612LISTED 2 DAYS AGO"
"$189,500","3bd2ba1,488 sqft","2932 W  Wilcox St, Chicago, IL 60612LISTED 2 DAYS AGO"
"$334,900","3bd2ba1,600 sqft","2300 N  Kimball Ave  #G, Chicago, IL 60647LISTED 2 DAYS AGO"
"$685,000","6bd3ba","7444 N  Damen Ave, Chicago, IL 60645LISTED 2 DAYS AGO"
"$64,000","3bd2ba1,700 sqft","4913 W  Jackson Blvd, Chicago, IL 60644LISTED 2 DAYS AGO"
"$425,000","3bd2ba1,470 sqft","823 W  Lakeside Pl #2W, Chicago, IL 60640LISTED 2 DAYS AGO"
"$71,000","","2560 W  Washington Blvd, Chicago, IL 60612LISTED 2 DAYS AGO"
"$12,500","","4903 W  Jackson Blvd, Chicago, IL 60644LISTED 2 DAYS AGO"
"$1,575,000","3bd4ba3,320 sqft","180 E  Pearson St #6504, Chicago, IL 60611LISTED 2 DAYS AGO"
"$369,000","2bd2ba","850 W  Buckingham Pl #1N, Chicago, IL 60657LISTED 2 DAYS AGO"
"$106,000","","2558 W  Washington Blvd, Chicago, IL 60612LISTED 2 DAYS AGO"
"$30,400","","2948 W  Wilcox St, Chicago, IL 60612LISTED 2 DAYS AGO"
"$339,900","5bd2ba","4639 W  Schubert Ave, Chicago, IL 60639LISTED 2 DAYS AGO"
"$270,000","1bd1ba1,050 sqft","201 E  Chestnut St #16E, Chicago, IL 60611LISTED 2 DAYS AGO"
"$1,499,000","2bd3ba2,754 sqft","401 N  Wabash Ave #48G, Chicago, IL 60611LISTED 2 DAYS AGO"
"$525,000+","2bd2ba1,450 sqft","Unit 1N Plan in Green Street Condos, Chicago, IL 60642"
"$1,199,000","4bd3ba2,500 sqft","17 E  Division St #1E, Chicago, IL 60610LISTED 2 DAYS AGO"
"$12,000","","4855 W  Jackson Blvd, Chicago, IL 60644LISTED 2 DAYS AGO"
"$323,000","4bd2ba1,400 sqft (on 0.25 acres)","11329 S  Avenue H, Chicago, IL 60617LISTED 2 DAYS AGO"
"$415,000","3bd2ba2,100 sqft","5428 N  Mobile Ave, Chicago, IL 60630LISTED 2 DAYS AGO"
"$169,000","3bd1ba1,001 sqft","12153 S  Loomis St, Chicago, IL 60643LISTED 2 DAYS AGO"
"$675,000","2bd2ba1,600 sqft","1300 N  Astor St #14A, Chicago, IL 60610LISTED 2 DAYS AGO"
"$150,000","3bd3ba2,171 sqft","8145 S  Clyde Ave, Chicago, IL 60617LISTED 2 DAYS AGO"
"$199,900","4bd2ba","7828 S  Carpenter St, Chicago, IL 60620LISTED 2 DAYS AGO"
"$390,000","3bd2ba1,610 sqft","2028 N  77th Ct, Elmwood Park, IL 60707LISTED 2 DAYS AGO"
"$185,500","3bd2ba1,440 sqft","12611 S  Elizabeth St, Calumet Park, IL 60827LISTED 2 DAYS AGO"
"$124,900","4bd2ba1,200 sqft","11243 S  Eggleston Ave, Chicago, IL 60628LISTED 2 DAYS AGO"
"$225,000","Studio","3723 S  Lake Park Ave, Chicago, IL 60653"
"$325,000","2bd2ba1,218 sqft","2932 N  75th Ave, Elmwood Park, IL 60707LISTED 2 DAYS AGO"
"$400,000","2bd2ba1,200 sqft","1645 W  Ogden Ave #311, Chicago, IL 60612LISTED 2 DAYS AGO"
"$175,000","2bd2ba840 sqft","2414 N  Mason Ave, Chicago, IL 60639LISTED 2 DAYS AGO"
"$349,000","6bd3ba1,872 sqft","7927 S  Sangamon St, Chicago, IL 60620LISTED 2 DAYS AGO"
"$65,000","3bd1ba1,152 sqft","6000 S  Sangamon St, Chicago, IL 60621LISTED 2 DAYS AGO"
"$175,000","3bd1ba882 sqft","940 N  Springfield Ave, Chicago, IL 60651LISTED 2 DAYS AGO"
"$600,000","3bd2ba1,500 sqft","817 W  Washington Blvd #302, Chicago, IL 60607LISTED 2 DAYS AGO"
"$219,900","2bd1ba1,200 sqft","3510 S  55th Ave, Cicero, IL 60804LISTED 2 DAYS AGO"
"$225,000","2bd1ba1,190 sqft","7049 W  71st St, Chicago, IL 60638LISTED 3 DAYS AGO"
"$239,000","3bd2ba2,000 sqft","4722 S  Greenwood Ave #3W, Chicago, IL 60615LISTED 3 DAYS AGO"
"$104,000","6bd2ba1,680 sqft","4926 W  Hubbard St, Chicago, IL 60644LISTED 3 DAYS AGO"
"$2,225,000","3bd3ba3,800 sqft","445 E  North Water St   #2201, Chicago, IL 60611LISTED 3 DAYS AGO"
"$24,900","","204 N  Leclaire Ave, Chicago, IL 60644LISTED 3 DAYS AGO"
"$599,000","3bd3ba2,600 sqft","1924 N  California Ave #1, Chicago, IL 60647LISTED 3 DAYS AGO"
"$725,000","6bd4ba","2059 W  Ohio St, Chicago, IL 60612LISTED 3 DAYS AGO"
"$249,000","2bd1ba1,000 sqft","1117 W  Lunt Ave #2B, Chicago, IL 60626LISTED 3 DAYS AGO"
"$639,000","3bd2ba1,500 sqft","5626 N  Rogers Ave, Chicago, IL 60646LISTED 3 DAYS AGO"
"$175,000","4bd2ba1,128 sqft","12528 S  Lincoln St, Calumet Park, IL 60827LISTED 3 DAYS AGO"
"$239,500","1bd1ba","400 W  Deming Pl #4L, Chicago, IL 60614LISTED 3 DAYS AGO"
"$1,498,000","5bd4ba3,829 sqft","2129 N  Maplewood Ave, Chicago, IL 60647LISTED 3 DAYS AGO"
"$250,000","4bd2ba","2915 S  49th Ave, Cicero, IL 60804LISTED 3 DAYS AGO"
"$299,900","3bd2ba1,340 sqft","3424 S  57th Ave, Cicero, IL 60804LISTED 3 DAYS AGO"
